代码,name,rose(3y),rank(3y),rank_r(3y),rose(2y),rank(2y),rank_r(2y),rose(1y),rank(1y),rank_r(1y),rose(6m),rank(6m),rank_r(6m),rose(3m),rank(3m),rank_r(3m),名称
796,宝盈睿丰创新混合C,0.2856,2178,0.118886463,0.4762,1696,0.092576419,0.7973,1996,0.108951965,0.236,4020,0.219432314,0.5013,950,0.051855895,宝盈睿丰创新混合C
850,汇丰晋信双核策略混合C,0.4343,1164,0.063537118,0.5567,1250,0.068231441,0.7944,2011,0.109770742,0.2294,4198,0.229148472,0.3253,2860,0.156113537,汇丰晋信双核策略混合C
1174,中欧瑾和灵活配置混合C,0.4509,1098,0.059934498,0.6074,1014,0.055349345,1.2674,388,0.021179039,0.459,943,0.051473799,0.4565,1220,0.066593886,中欧瑾和灵活配置混合C
1326,鹏华弘和混合C,0.3589,1609,0.087827511,0.3337,3114,0.169978166,0.8327,1803,0.098417031,0.3715,1657,0.090447598,0.2738,3804,0.207641921,鹏华弘和混合C
1407,景顺长城稳健回报混合C,1.8933,11,0.000600437,2.0164,7,0.000382096,2.0949,20,0.001091703,1.0281,41,0.002237991,0.997,33,0.00180131,景顺长城稳健回报混合C
1426,南方大数据300C,0.3688,1542,0.084170306,0.3859,2450,0.133733624,0.8264,1835,0.100163755,0.2264,4295,0.234443231,0.1987,6007,0.327893013,南方大数据300C
1467,华富永鑫灵活配置混合C,0.5427,756,0.041266376,0.5809,1136,0.062008734,0.6818,2753,0.150272926,0.4517,993,0.054203057,0.2836,3619,0.197543668,华富永鑫灵活配置混合C
1557,天弘中证500指数增强C,0.2481,2543,0.138810044,0.353,2837,0.154858079,0.6301,3220,0.175764192,0.2357,4031,0.220032751,0.2745,3782,0.206441048,天弘中证500指数增强C
1593,天弘创业板ETF联接C,0.3589,1609,0.087827511,0.5356,1368,0.074672489,0.9706,1164,0.063537118,0.4367,1099,0.059989083,0.5138,863,0.047106987,天弘创业板ETF联接C
1618,天弘中证电子ETF联接C,0.8952,219,0.011954148,0.8174,424,0.023144105,1.1071,643,0.035098253,0.4316,1138,0.062117904,0.5322,778,0.042467249,天弘中证电子ETF联接C
1665,平安鑫安混合C,0.5648,700,0.038209607,0.5784,1146,0.062554585,0.8605,1629,0.088919214,0.4525,985,0.053766376,0.5337,770,0.042030568,平安鑫安混合C
1770,前海开源嘉鑫混合C,1.0173,154,0.008406114,1.0392,170,0.009279476,1.0879,705,0.038482533,0.218,4537,0.247652838,0.5058,925,0.050491266,前海开源嘉鑫混合C
1997,工银新趋势灵活配置混合C,0.1976,3263,0.178111354,0.3599,2760,0.150655022,0.5356,4379,0.239028384,0.3555,1839,0.100382096,0.422,1584,0.086462882,工银新趋势灵活配置混合C
1998,工银新焦点混合C,0.5068,867,0.047325328,0.6166,982,0.05360262,0.8751,1559,0.085098253,0.3219,2356,0.12860262,0.3894,1929,0.10529476,工银新焦点混合C
2036,安信优势增长混合C,0.2847,2196,0.119868996,0.3794,2520,0.137554585,0.6596,2950,0.161026201,0.3136,2485,0.135644105,0.3127,3053,0.166648472,安信优势增长混合C
2051,诺安创新驱动混合C,0.5261,797,0.043504367,0.4407,1972,0.107641921,0.7453,2312,0.126200873,0.186,5598,0.305567686,0.2566,4130,0.225436681,诺安创新驱动混合C
2052,诺安稳健回报混合C,0.5039,879,0.047980349,1.0756,147,0.008024017,1.5849,107,0.005840611,0.4185,1251,0.068286026,0.4289,1510,0.082423581,诺安稳健回报混合C
2096,博时新收益C,0.3102,1974,0.107751092,0.6367,911,0.049727074,0.8698,1592,0.086899563,0.456,963,0.052565502,0.3986,1826,0.099672489,博时新收益C
2112,德邦鑫星价值灵活配置混合C,1.9958,7,0.000382096,2.315,2,0.00010917,2.7993,2,0.00010917,1.245,6,0.000327511,1.1255,10,0.000545852,德邦鑫星价值灵活配置混合C
2158,汇添富安鑫智选混合C,0.149,4122,0.225,0.3162,3356,0.183187773,0.7564,2227,0.121561135,0.3225,2345,0.128002183,0.377,2072,0.113100437,汇添富安鑫智选混合C
2163,东方惠新灵活配置混合C,0.6257,571,0.031168122,1.0608,155,0.008460699,1.4276,212,0.011572052,0.3763,1616,0.088209607,0.3811,2020,0.110262009,东方惠新灵活配置混合C
2170,东吴移动互联混合C,2.14,3,0.000163755,1.4397,42,0.002292576,1.3933,229,0.0125,0.8205,109,0.005949782,0.8008,143,0.007805677,东吴移动互联混合C
2207,前海开源金银珠宝混合C,0.8895,221,0.012063319,0.5969,1053,0.057478166,0.6327,3200,0.174672489,0.4077,1348,0.073580786,0.2822,3642,0.198799127,前海开源金银珠宝混合C
2233,工银丰收回报灵活配置混合C,0.3825,1444,0.078820961,0.3877,2435,0.132914847,0.5956,3561,0.194377729,0.2675,3311,0.180731441,0.2624,4001,0.218395197,工银丰收回报灵活配置混合C
2316,创金合信中证500指数增强C,0.2305,2777,0.151582969,0.2782,3992,0.21790393,0.5997,3512,0.191703057,0.1969,5241,0.286080786,0.2353,4728,0.258078603,创金合信中证500指数增强C
2451,平安睿享文娱混合C,0.3857,1421,0.077565502,0.5084,1504,0.08209607,1.0042,1015,0.05540393,0.4652,905,0.049399563,0.5476,715,0.039028384,平安睿享文娱混合C
2555,博时沪港深优质企业基金C,0.2074,3117,0.170141921,0.5417,1337,0.072980349,1.1292,595,0.032478166,0.4341,1115,0.060862445,0.5857,568,0.031004367,博时沪港深优质企业基金C
2771,安信新回报混合C,0.6898,439,0.023962882,1.2641,88,0.004803493,1.5637,121,0.006604803,1.0938,18,0.000982533,0.7261,233,0.012718341,安信新回报混合C
2872,华夏智胜价值成长C,0.471,1001,0.054639738,0.341,3014,0.164519651,0.6857,2723,0.148635371,0.2342,4077,0.222543668,0.2079,5595,0.30540393,华夏智胜价值成长C
2903,广发中证500ETF联接C,0.2482,2542,0.138755459,0.2671,4189,0.228657205,0.5598,4044,0.220742358,0.2045,4979,0.271779476,0.2548,4196,0.229039301,广发中证500ETF联接C
2974,广发信息技术联接C,0.7515,352,0.019213974,0.6465,878,0.047925764,1.0318,904,0.049344978,0.3512,1893,0.103329694,0.4549,1237,0.067521834,广发信息技术联接C
3070,光大创业板量化优选C,0.2674,2346,0.128056769,0.5065,1511,0.082478166,0.8868,1497,0.081713974,0.3592,1795,0.097980349,0.4482,1306,0.07128821,光大创业板量化优选C
3305,前海开源沪港深核心资源混合C,0.608,607,0.033133188,0.6748,805,0.043941048,0.9236,1335,0.072871179,0.4878,770,0.042030568,0.3681,2220,0.121179039,前海开源沪港深核心资源混合C
3374,大成景禄灵活配置混合C,0.4753,985,0.053766376,0.6667,835,0.045578603,1.0443,858,0.046834061,0.2098,4791,0.261517467,0.1967,6079,0.331823144,大成景禄灵活配置混合C
3578,中金中证500指数增强C,0.315,1928,0.105240175,0.3639,2697,0.147216157,0.6341,3180,0.173580786,0.2324,4120,0.22489083,0.2633,3977,0.217085153,中金中证500指数增强C
3587,先锋精一混合C,0.3548,1637,0.089355895,0.4136,2198,0.119978166,0.6516,3018,0.164737991,0.1921,5403,0.294923581,0.2709,3857,0.210534934,先锋精一混合C
3761,国泰中证500指数增强C,0.313,1953,0.106604803,0.301,3589,0.195906114,0.5771,3824,0.208733624,0.191,5435,0.296670306,0.2475,4418,0.241157205,国泰中证500指数增强C
3766,广发创业板ETF发起式联接C,0.3526,1656,0.090393013,0.5409,1340,0.073144105,0.9982,1035,0.056495633,0.4376,1094,0.059716157,0.5219,817,0.04459607,广发创业板ETF发起式联接C
3858,前海开源周期优选混合C,0.4333,1170,0.063864629,0.8246,413,0.022543668,1.0372,882,0.048144105,0.6742,227,0.01239083,0.7416,210,0.011462882,前海开源周期优选混合C
3865,创金合信量化多因子股票C,0.2593,2445,0.133460699,0.2597,4340,0.236899563,0.6785,2790,0.152292576,0.2013,5083,0.277456332,0.2021,5871,0.320469432,创金合信量化多因子股票C
4193,招商中证500指数增强C,0.3709,1523,0.083133188,0.3559,2802,0.152947598,0.6074,3427,0.187063319,0.2068,4910,0.2680131,0.2338,4763,0.259989083,招商中证500指数增强C
4195,招商中证1000指数增强C,0.4162,1252,0.068340611,0.3722,2605,0.142194323,0.7124,2532,0.138209607,0.2175,4553,0.248526201,0.2302,4856,0.265065502,招商中证1000指数增强C
4231,中欧行业成长混合(LOF)C,0.1498,4100,0.223799127,0.3932,2378,0.129803493,0.569,3918,0.213864629,0.2899,2884,0.157423581,0.2823,3639,0.198635371,中欧行业成长混合(LOF)C
4234,中欧数据挖掘多因子混合C,0.3359,1768,0.09650655,0.4504,1890,0.103165939,0.7334,2394,0.130676856,0.2443,3810,0.207969432,0.2213,5105,0.278657205,中欧数据挖掘多因子混合C
4235,中欧价值智选混合C,0.1988,3237,0.17669214,0.4058,2277,0.124290393,0.6828,2747,0.149945415,0.2615,3416,0.186462882,0.2682,3890,0.212336245,中欧价值智选混合C
4237,中欧新蓝筹混合C,0.4114,1279,0.06981441,0.5732,1165,0.063591703,0.8056,1946,0.106222707,0.5635,462,0.025218341,0.5839,580,0.031659389,中欧新蓝筹混合C
4241,中欧时代先锋股票C,0.1895,3408,0.186026201,0.3792,2525,0.137827511,0.5437,4270,0.233078603,0.3658,1712,0.093449782,0.4132,1669,0.09110262,中欧时代先锋股票C
4315,前海开源沪港深新硬件C,0.2452,2593,0.141539301,0.4979,1556,0.084934498,1.0798,741,0.040447598,0.3237,2320,0.126637555,0.4845,1048,0.05720524,前海开源沪港深新硬件C
4343,南方创业板ETF联接C,0.3776,1474,0.080458515,0.5575,1247,0.068067686,1.003,1021,0.055731441,0.436,1102,0.060152838,0.5131,867,0.047325328,南方创业板ETF联接C
4345,南方深证成份ETF联接C,0.21,3081,0.168176856,0.2976,3648,0.199126638,0.598,3529,0.192631004,0.227,4275,0.233351528,0.293,3440,0.187772926,南方深证成份ETF联接C
4347,南方中证500信息技术联接C,0.6889,441,0.024072052,0.6188,973,0.053111354,1.0783,748,0.040829694,0.3112,2518,0.137445415,0.415,1649,0.090010917,南方中证500信息技术联接C
4348,南方中证500ETF联接(LOF)C,0.2428,2634,0.143777293,0.2649,4233,0.231058952,0.5679,3937,0.214901747,0.2044,4984,0.272052402,0.2557,4164,0.227292576,南方中证500ETF联接(LOF)C
4391,平安转型创新混合C,0.3257,1839,0.100382096,0.6404,897,0.048962882,1.0848,719,0.039246725,0.5766,426,0.023253275,0.7452,203,0.011080786,平安转型创新混合C
4408,招商深证100指数C,0.2283,2804,0.153056769,0.3219,3278,0.178930131,0.5869,3677,0.200709607,0.2454,3787,0.206713974,0.3029,3237,0.17669214,招商深证100指数C
4409,招商深证TMT50ETF联接C,0.8258,269,0.014683406,0.7336,620,0.033842795,1.0069,1005,0.054858079,0.5074,664,0.036244541,0.5831,584,0.031877729,招商深证TMT50ETF联接C
4433,南方中证申万有色金属ETF发起联接C,0.2595,2443,0.133351528,0.4617,1802,0.098362445,0.6192,3322,0.181331878,0.3596,1793,0.097871179,0.3442,2570,0.140283843,南方中证申万有色金属ETF发起联接C
4435,博时逆向投资混合C,0.2276,2814,0.15360262,0.4228,2122,0.115829694,0.5954,3564,0.194541485,0.4046,1374,0.075,0.4234,1570,0.08569869,博时逆向投资混合C
4497,前海开源多元策略混合C,0.6158,595,0.032478166,0.4805,1665,0.090884279,0.6034,3461,0.188919214,0.286,2959,0.161517467,0.2571,4116,0.224672489,前海开源多元策略混合C
4522,安信工业4.0灵活配置混合C,0.3794,1462,0.079803493,0.4035,2296,0.125327511,0.535,4388,0.239519651,0.289,2907,0.158679039,0.3809,2026,0.11058952,安信工业4.0灵活配置混合C
4635,中信建投睿利C,0.4547,1079,0.05889738,0.4921,1600,0.087336245,0.8085,1932,0.105458515,0.2406,3899,0.212827511,0.2153,5330,0.290938865,中信建投睿利C
4675,富国新机遇灵活配置混合C,0.2843,2201,0.120141921,0.4268,2098,0.114519651,0.6536,2997,0.163591703,0.3126,2493,0.136080786,0.2067,5660,0.308951965,富国新机遇灵活配置混合C
4719,景顺长城睿成混合C,0.3348,1774,0.096834061,0.4312,2063,0.11260917,0.5953,3566,0.194650655,0.2211,4452,0.2430131,0.2869,3559,0.194268559,景顺长城睿成混合C
4742,易方达深证100ETF联接C,0.1909,3380,0.184497817,0.29,3780,0.206331878,0.5545,4122,0.225,0.2457,3783,0.206495633,0.303,3234,0.176528384,易方达深证100ETF联接C
4744,易方达创业板ETF联接C,0.3413,1736,0.094759825,0.525,1417,0.077347162,0.9809,1117,0.060971616,0.4335,1117,0.060971616,0.5109,890,0.048580786,易方达创业板ETF联接C
4753,广发中证传媒ETF联接C,0.868,238,0.012991266,0.3336,3117,0.170141921,0.7307,2409,0.131495633,0.2202,4480,0.244541485,0.2545,4207,0.229639738,广发中证传媒ETF联接C
4819,国寿安保目标策略混合发起C,0.3715,1517,0.082805677,0.4315,2057,0.112281659,0.9472,1264,0.068995633,0.2694,3276,0.178820961,0.3808,2027,0.110644105,国寿安保目标策略混合发起C
4834,先锋聚利混合C,0.5018,885,0.04830786,0.5441,1318,0.071943231,0.8217,1858,0.101419214,0.1904,5459,0.297980349,0.2362,4703,0.256713974,先锋聚利混合C
4870,融通创业板指数C,0.3088,1985,0.108351528,0.5547,1261,0.068831878,1.0057,1010,0.055131004,0.4417,1053,0.057478166,0.5122,876,0.047816594,融通创业板指数C
4875,融通深证成份指数C,0.2479,2548,0.139082969,0.3313,3153,0.172106987,0.6178,3332,0.181877729,0.2314,4146,0.226310044,0.2925,3453,0.188482533,融通深证成份指数C
4876,融通深证100指数C,0.1613,3898,0.212772926,0.2692,4149,0.226473799,0.5368,4362,0.238100437,0.2382,3967,0.216539301,0.2986,3330,0.181768559,融通深证100指数C
5114,平安沪深300指数量化C,0.2442,2610,0.142467249,0.3194,3311,0.180731441,0.5246,4504,0.245851528,0.2146,4638,0.253165939,0.2314,4824,0.263318777,平安沪深300指数量化C
5118,金信价值精选混合C,0.6191,586,0.0319869,0.6305,936,0.051091703,1.1316,591,0.032259825,0.5612,468,0.025545852,0.2206,5134,0.280240175,金信价值精选混合C
5143,国联沪港深大消费主题C,0.6968,423,0.02308952,0.4917,1601,0.08739083,0.854,1668,0.091048035,0.2737,3188,0.174017467,0.2273,4934,0.269323144,国联沪港深大消费主题C
5187,长安鑫兴混合C,0.4253,1210,0.066048035,0.7989,460,0.02510917,0.9138,1370,0.074781659,0.303,2642,0.144213974,0.3448,2557,0.139574236,长安鑫兴混合C
5198,工银沪港深精选混合C,0.4934,915,0.049945415,0.597,1052,0.057423581,0.6285,3232,0.176419214,0.2725,3211,0.175272926,0.2403,4604,0.251310044,工银沪港深精选混合C
5207,南方高端装备混合C,0.1584,3937,0.214901747,0.5176,1455,0.079421397,1.0063,1008,0.055021834,0.4295,1155,0.063045852,0.6052,496,0.027074236,南方高端装备混合C
5245,国泰聚优价值灵活配置混合C,0.1476,4154,0.226746725,0.328,3200,0.174672489,0.666,2893,0.157914847,0.2556,3549,0.193722707,0.2556,4169,0.227565502,国泰聚优价值灵活配置混合C
5287,海富通创业板增强C,0.27,2326,0.126965066,0.4115,2217,0.121015284,0.8057,1945,0.106168122,0.3059,2589,0.141320961,0.337,2704,0.147598253,海富通创业板增强C
5297,南华丰淳混合C,0.1922,3357,0.183242358,0.3746,2568,0.140174672,0.8499,1700,0.09279476,0.2126,4702,0.256659389,0.3719,2145,0.117085153,南华丰淳混合C
5300,万家成长优选混合C,0.3755,1487,0.081168122,0.6777,795,0.043395197,0.9758,1137,0.062063319,0.5711,442,0.024126638,0.8351,119,0.006495633,万家成长优选混合C
5304,嘉实医药健康股票C,0.2418,2649,0.14459607,0.2705,4124,0.22510917,0.625,3271,0.178548035,0.4286,1164,0.063537118,0.2998,3299,0.180076419,嘉实医药健康股票C
5312,万家经济新动能混合C,0.4562,1068,0.058296943,0.4908,1606,0.087663755,1.3415,278,0.015174672,0.295,2791,0.152347162,0.3316,2767,0.151037118,万家经济新动能混合C
5374,中加紫金灵活配置混合C,0.4292,1190,0.064956332,0.4323,2046,0.111681223,0.6788,2785,0.152019651,0.2771,3122,0.170414847,0.2646,3946,0.215393013,中加紫金灵活配置混合C
5391,工银创业板ETF联接C,0.3944,1373,0.074945415,0.5823,1126,0.061462882,1.0215,946,0.051637555,0.4277,1172,0.063973799,0.5037,938,0.051200873,工银创业板ETF联接C
5473,富国价值驱动灵活配置混合C,0.3132,1951,0.106495633,0.3881,2428,0.132532751,0.5878,3666,0.20010917,0.36,1786,0.097489083,0.2302,4856,0.265065502,富国价值驱动灵活配置混合C
5491,兴全合宜混合(LOF)C,0.4476,1112,0.06069869,0.4703,1744,0.095196507,0.7759,2109,0.115120087,0.2931,2829,0.154421397,0.2998,3299,0.180076419,兴全合宜混合(LOF)C
5496,创金合信科技成长股票C,0.3192,1900,0.10371179,0.2571,4388,0.239519651,0.7541,2249,0.122762009,0.1996,5141,0.280622271,0.3459,2542,0.138755459,创金合信科技成长股票C
5542,前海开源盛鑫混合C,0.4666,1016,0.055458515,0.5904,1086,0.059279476,0.6613,2929,0.159879913,0.1785,5888,0.32139738,0.3922,1905,0.103984716,前海开源盛鑫混合C
5551,汇安成长优选混合C,0.7285,378,0.020633188,1.5288,28,0.001528384,2.0521,22,0.001200873,0.7401,172,0.009388646,0.8285,123,0.006713974,汇安成长优选混合C
5608,华宝中证500增强C,0.2217,2919,0.159334061,0.2931,3718,0.202947598,0.5735,3870,0.211244541,0.2058,4943,0.26981441,0.2213,5105,0.278657205,华宝中证500增强C
5627,富国中证高端制造指数增强型(LOF)C,0.3227,1859,0.101473799,0.5154,1467,0.080076419,0.7795,2085,0.113810044,0.3189,2405,0.131277293,0.3509,2470,0.134825328,富国中证高端制造指数增强型(LOF)C
5636,博时量化多策略股票C,0.3208,1882,0.102729258,0.2835,3894,0.212554585,0.6206,3309,0.180622271,0.2792,3082,0.168231441,0.2934,3430,0.187227074,博时量化多策略股票C
5661,嘉实资源精选股票C,0.4821,954,0.052074236,0.4944,1575,0.085971616,0.5203,4556,0.248689956,0.347,1942,0.106004367,0.3294,2790,0.152292576,嘉实资源精选股票C
5727,嘉实中创400ETF联接C,0.2887,2152,0.117467249,0.3008,3595,0.196233624,0.7005,2606,0.142248908,0.1833,5697,0.310971616,0.2556,4169,0.227565502,嘉实中创400ETF联接C
5744,长安裕隆混合C,0.1764,3621,0.197652838,0.4473,1913,0.104421397,0.8736,1567,0.085534934,0.2814,3044,0.166157205,0.4055,1755,0.095796943,长安裕隆混合C
5763,中欧电子信息产业沪港深股票C,0.6436,523,0.028548035,0.3942,2371,0.129421397,1.0331,901,0.049181223,0.3277,2244,0.122489083,0.4028,1782,0.097270742,中欧电子信息产业沪港深股票C
5765,中欧明睿新常态混合C,0.1752,3651,0.199290393,0.654,862,0.047052402,0.7948,2007,0.109552402,0.4809,813,0.044377729,0.6084,486,0.026528384,中欧明睿新常态混合C
5776,中加转型动力混合C,0.7845,303,0.016539301,0.7862,490,0.026746725,0.9358,1288,0.070305677,0.5604,475,0.025927948,0.7392,215,0.011735808,中加转型动力混合C
5787,中欧新趋势混合C,0.2477,2553,0.139355895,0.3953,2357,0.128657205,0.5669,3950,0.215611354,0.3878,1502,0.0819869,0.428,1521,0.083024017,中欧新趋势混合C
5795,博时中证500指数增强C,0.2925,2121,0.115775109,0.3442,2971,0.162172489,0.6016,3484,0.190174672,0.2304,4174,0.227838428,0.2603,4046,0.220851528,博时中证500指数增强C
5874,建信创业板ETF联接C,0.3551,1633,0.089137555,0.5239,1420,0.077510917,0.9397,1281,0.069923581,0.426,1188,0.064847162,0.5053,928,0.050655022,建信创业板ETF联接C
5885,金鹰信息产业股票C,0.3754,1488,0.081222707,0.4932,1587,0.086626638,0.9551,1235,0.067412664,0.3956,1437,0.078438865,0.5434,729,0.039792576,金鹰信息产业股票C
5919,天弘中证500ETF联接C,0.2599,2439,0.133133188,0.2771,4009,0.218831878,0.5777,3811,0.208024017,0.2064,4927,0.268941048,0.2559,4155,0.22680131,天弘中证500ETF联接C
5959,财通新视野灵活配置混合C,0.841,257,0.014028384,0.9246,265,0.014465066,1.3321,292,0.015938865,0.6793,219,0.011954148,0.4785,1071,0.058460699,财通新视野灵活配置混合C
5961,博时量化价值股票C,0.3773,1477,0.080622271,0.3526,2846,0.155349345,0.5943,3579,0.195360262,0.2479,3732,0.20371179,0.252,4281,0.233679039,博时量化价值股票C
5963,宝盈人工智能股票C,0.6048,617,0.033679039,0.9181,274,0.014956332,1.2671,389,0.021233624,0.4749,845,0.046124454,0.5237,806,0.043995633,宝盈人工智能股票C
6003,工银医药健康股票C,0.3499,1678,0.091593886,0.2998,3614,0.197270742,0.8282,1826,0.099672489,0.4817,808,0.044104803,0.2741,3795,0.207150655,工银医药健康股票C
6031,南方昌元可转债债券C,0.1846,3483,0.190120087,0.2542,4446,0.24268559,0.56,4042,0.220633188,0.2301,4184,0.228384279,0.2779,3714,0.202729258,南方昌元可转债债券C
6080,海富通电子传媒股票C,0.2887,2152,0.117467249,0.6709,825,0.045032751,1.2412,423,0.02308952,0.8066,124,0.006768559,0.8715,98,0.005349345,海富通电子传媒股票C
6087,华泰柏瑞中证500ETF联接C,0.3427,1727,0.094268559,0.3421,2999,0.163700873,0.6368,3154,0.172161572,0.2089,4835,0.263919214,0.2556,4169,0.227565502,华泰柏瑞中证500ETF联接C
6101,平安优势产业混合C,0.315,1928,0.105240175,0.4442,1941,0.105949782,0.9706,1164,0.063537118,0.4726,859,0.046888646,0.5176,833,0.045469432,平安优势产业混合C
6104,华泰柏瑞量化智慧混合C,0.4147,1259,0.068722707,0.4317,2055,0.112172489,0.6838,2738,0.149454148,0.2673,3315,0.180949782,0.2832,3623,0.197762009,华泰柏瑞量化智慧混合C
6127,华宝香港中小C,0.3422,1729,0.094377729,0.3487,2897,0.158133188,0.5754,3850,0.210152838,0.2229,4394,0.239847162,0.1971,6068,0.331222707,华宝香港中小C
6161,博道启航混合C,0.3618,1588,0.086681223,0.4384,1990,0.108624454,0.6038,3456,0.188646288,0.219,4511,0.246233624,0.2007,5942,0.324344978,博道启航混合C
6166,建信中证1000指数增强C,0.302,2039,0.111299127,0.3404,3021,0.164901747,0.7616,2194,0.119759825,0.244,3814,0.208187773,0.2572,4109,0.224290393,建信中证1000指数增强C
6215,平安500ETF联接C,0.2604,2434,0.132860262,0.2809,3933,0.214683406,0.563,4000,0.218340611,0.2139,4664,0.254585153,0.2568,4123,0.225054585,平安500ETF联接C
6229,中欧医疗创新股票C,0.1373,4393,0.239792576,0.2584,4360,0.237991266,0.9055,1403,0.076582969,0.4489,1007,0.054967249,0.281,3661,0.199836245,中欧医疗创新股票C
6234,万家汽车新趋势混合C,0.3713,1519,0.082914847,0.5956,1057,0.057696507,0.9707,1162,0.063427948,0.5861,401,0.021888646,0.844,108,0.005895197,万家汽车新趋势混合C
6249,华夏创业板ETF联接C,0.3576,1617,0.088264192,0.5388,1354,0.073908297,0.9745,1144,0.062445415,0.43,1151,0.062827511,0.5075,912,0.049781659,华夏创业板ETF联接C
6263,易方达香港小型股指数C,0.3009,2052,0.112008734,0.306,3507,0.191430131,0.6614,2927,0.159770742,0.2361,4015,0.219159389,0.1973,6064,0.331004367,易方达香港小型股指数C
6269,永赢智能领先混合C,0.3633,1580,0.086244541,0.6214,964,0.052620087,0.9888,1074,0.058624454,0.6369,308,0.016812227,0.7273,228,0.012445415,永赢智能领先混合C
6315,国联策略优选混合C,0.22,2941,0.160534934,0.3875,2438,0.133078603,0.745,2315,0.126364629,0.3852,1531,0.083569869,0.2987,3328,0.181659389,国联策略优选混合C
6372,长安鑫盈混合C,0.137,4404,0.240393013,0.3938,2374,0.129585153,0.8363,1783,0.097325328,0.2681,3296,0.179912664,0.402,1793,0.097871179,长安鑫盈混合C
6382,华夏中证500ETF联接C,0.2416,2652,0.144759825,0.2691,4151,0.226582969,0.5745,3859,0.210644105,0.2042,4992,0.272489083,0.2547,4199,0.229203057,华夏中证500ETF联接C
6433,平安鑫利混合C,0.5545,726,0.039628821,0.5724,1171,0.063919214,0.9133,1373,0.074945415,0.5434,539,0.029421397,0.28,3677,0.200709607,平安鑫利混合C
6441,中信建投中证500增强C,0.2462,2575,0.140556769,0.2873,3822,0.208624454,0.5816,3754,0.204912664,0.19,5469,0.298526201,0.2048,5745,0.313591703,中信建投中证500增强C
6503,财通集成电路产业股票C,0.9767,174,0.009497817,1.4913,32,0.001746725,1.8596,27,0.001473799,1.0478,33,0.00180131,1.106,12,0.000655022,财通集成电路产业股票C
6523,财通新兴蓝筹混合C,0.5893,646,0.035262009,1.0987,138,0.007532751,1.3748,242,0.013209607,0.7191,182,0.009934498,0.6005,516,0.028165939,财通新兴蓝筹混合C
6556,海富通研究精选混合C,0.1635,3854,0.210371179,0.4055,2281,0.124508734,0.6415,3111,0.16981441,0.3648,1724,0.094104803,0.3797,2040,0.111353712,海富通研究精选混合C
6594,博道中证500增强C,0.3078,1997,0.10900655,0.4146,2190,0.119541485,0.6678,2881,0.157259825,0.2489,3713,0.202674672,0.2623,4002,0.218449782,博道中证500增强C
6616,工银战略新兴产业混合C,0.4786,969,0.052893013,0.783,495,0.027019651,0.9665,1179,0.064355895,0.5533,497,0.027128821,0.63,430,0.023471616,工银战略新兴产业混合C
6649,汇安多因子混合C,0.3875,1409,0.07691048,0.4404,1974,0.107751092,0.6901,2688,0.146724891,0.2664,3328,0.181659389,0.2589,4072,0.222270742,汇安多因子混合C
6657,方正富邦中证500ETF联接C,0.2199,2945,0.160753275,0.2534,4462,0.243558952,0.5489,4199,0.229203057,0.1942,5337,0.291320961,0.243,4531,0.247325328,方正富邦中证500ETF联接C
6688,方正富邦深证100ETF联接C,0.1861,3464,0.189082969,0.283,3899,0.212827511,0.54,4328,0.236244541,0.2393,3935,0.214792576,0.2979,3342,0.182423581,方正富邦深证100ETF联接C
